stat_id,match_id,player_id,team_id,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fg_made,fg_attempted,three_made,three_attempted,ft_made,ft_attempted,efficiency,goals,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,yellow_cards,red_cards,fouls,saves,rating,sets_played,attacks,attack_kills,serves,serve_aces,digs,receptions,reception_efficiency,errors,games_played,points_won,points_lost,smash_winners,net_shots,service_aces,unforced_errors,longest_rally,win_rate
S000001,M00001,P0003,T001,24.0,19.0,5.0,11.0,1.0,1.0,3.0,3.0,10.0,2.0,4.0,7.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000002,M00001,P0010,T001,18.0,30.0,2.0,5.0,3.0,3.0,1.0,8.0,17.0,3.0,8.0,6.0,2.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000003,M00001,P0009,T001,40.0,30.0,0.0,12.0,3.0,3.0,6.0,2.0,12.0,4.0,8.0,2.0,8.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000004,M00001,P0004,T001,15.0,16.0,12.0,7.0,2.0,3.0,2.0,7.0,20.0,4.0,7.0,1.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000005,M00001,P0012,T001,32.0,30.0,6.0,2.0,1.0,0.0,0.0,9.0,14.0,3.0,6.0,6.0,6.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000006,M00001,P0002,T001,21.0,24.0,15.0,4.0,5.0,4.0,0.0,7.0,4.0,0.0,6.0,2.0,3.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000007,M00001,P0011,T001,23.0,16.0,11.0,8.0,5.0,3.0,5.0,6.0,4.0,5.0,6.0,6.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000008,M00001,P0006,T001,25.0,2.0,11.0,10.0,5.0,0.0,5.0,3.0,11.0,4.0,7.0,2.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000009,M00001,P0088,T007,22.0,5.0,6.0,6.0,1.0,3.0,2.0,5.0,19.0,4.0,10.0,6.0,9.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000010,M00001,P0090,T007,33.0,26.0,2.0,1.0,5.0,4.0,6.0,6.0,7.0,2.0,3.0,6.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
