match_id,sport_type,tournament_type,match_date,match_time,venue,home_team_id,away_team_id,home_score,away_score,home_sets,away_sets,winner_team_id,status,referee,spectators,weather
M00001,篮球,联赛,2024-02-16,17:00,体育馆A,T001,T007,89,110,,,T007,已结束,裁判9,4133,阴
M00002,篮球,友谊赛,2024-01-20,18:00,大学球场,T002,T005,126,104,,,T002,未开始,裁判10,12158,室内
M00003,篮球,友谊赛,2024-03-30,14:00,体育馆B,T001,T007,120,111,,,T001,未开始,裁判10,3690,晴
M00004,篮球,锦标赛,2024-03-27,15:00,大学球场,T004,T005,123,82,,,T004,已结束,裁判6,1922,阴
M00005,篮球,联赛,2024-12-08,14:00,大学球场,T007,T003,105,105,,,T007,已结束,裁判30,1977,室内
M00006,篮球,锦标赛,2024-10-13,20:00,体育馆C,T005,T006,117,102,,,T005,已结束,裁判20,3687,小雨
M00007,篮球,友谊赛,2024-01-03,18:00,体育馆A,T007,T005,96,91,,,T007,未开始,裁判3,8743,阴
M00008,篮球,联赛,2024-09-19,16:00,大学球场,T006,T001,96,114,,,T001,进行中,裁判13,9726,小雨
M00009,篮球,友谊赛,2024-06-22,18:00,社区球场,T004,T007,129,109,,,T004,已结束,裁判16,2404,阴
M00010,篮球,季后赛,2024-11-20,20:00,体育馆C,T002,T004,130,94,,,T002,进行中,裁判12,8962,室内
M00011,篮球,常规赛,2024-05-14,17:00,大学球场,T001,T006,95,98,,,T006,已结束,裁判3,9585,多云
M00012,篮球,锦标赛,2024-06-30,15:00,大学球场,T008,T003,93,116,,,T003,已结束,裁判16,12576,多云
M00013,篮球,季后赛,2024-05-03,15:00,社区球场,T004,T006,96,93,,,T004,已结束,裁判27,10635,阴
M00014,篮球,友谊赛,2024-02-24,18:00,体育馆A,T003,T007,87,85,,,T003,未开始,裁判2,14393,小雨
M00015,篮球,锦标赛,2024-06-10,17:00,体育馆B,T006,T005,111,116,,,T005,未开始,裁判9,7018,多云
M00016,篮球,联赛,2024-09-26,14:00,体育中心,T003,T001,107,110,,,T001,已结束,裁判13,14596,多云
M00017,篮球,锦标赛,2024-12-23,19:00,体育馆A,T008,T001,113,109,,,T008,已结束,裁判22,3952,小雨
M00018,篮球,季后赛,2024-07-04,18:00,体育馆C,T002,T003,119,96,,,T002,已结束,裁判9,8222,室内
M00019,篮球,季后赛,2024-04-04,17:00,大学球场,T006,T003,111,107,,,T006,已结束,裁判12,14497,小雨
M00020,篮球,联赛,2024-04-02,19:00,体育馆B,T005,T004,116,88,,,T005,已结束,裁判24,4922,多云
M00021,篮球,季后赛,2024-07-14,17:00,社区球场,T007,T008,92,89,,,T007,已结束,裁判6,7406,小雨
M00022,篮球,锦标赛,2024-11-18,20:00,体育馆D,T003,T007,113,114,,,T007,已结束,裁判9,9710,室内
M00023,篮球,常规赛,2024-02-20,15:00,社区球场,T001,T004,124,90,,,T001,已结束,裁判16,14245,晴
M00024,篮球,锦标赛,2024-06-20,18:00,体育中心,T008,T006,96,103,,,T006,已结束,裁判12,824,小雨
M00025,篮球,联赛,2024-12-13,18:00,大学球场,T002,T003,118,92,,,T002,未开始,裁判6,13284,阴
M00026,篮球,友谊赛,2024-12-10,14:00,体育馆D,T006,T003,112,111,,,T006,未开始,裁判10,8098,多云
M00027,篮球,联赛,2024-06-21,18:00,体育馆D,T003,T006,106,120,,,T006,已结束,裁判3,3154,阴
M00028,篮球,锦标赛,2024-06-11,18:00,大学球场,T004,T003,121,98,,,T004,进行中,裁判9,7789,阴
M00029,篮球,季后赛,2024-03-26,19:00,体育馆B,T008,T004,91,81,,,T008,已结束,裁判24,11980,晴
M00030,篮球,友谊赛,2024-07-22,18:00,体育馆A,T004,T002,86,86,,,T004,已结束,裁判25,7004,室内
M00031,篮球,常规赛,2024-05-14,19:00,体育馆D,T002,T001,119,89,,,T002,已结束,裁判8,4553,阴
