standing_id,team_id,sport_type,season,matches_played,wins,losses,draws,goals_for,goals_against,goal_difference,points,win_rate,rank,form
ST0001,T001,篮球,2024,15,5,10,0,1508,1628,-120,10,33.33,8,LLLWW
ST0002,T002,篮球,2024,17,11,6,0,1850,1736,114,22,64.71,2,LLWWL
ST0003,T003,篮球,2024,16,8,8,0,1743,1654,89,16,50.0,5,WWWLL
ST0004,T004,篮球,2024,21,12,9,0,2120,2098,22,24,57.14,1,WLWLL
ST0005,T005,篮球,2024,14,6,8,0,1383,1456,-73,12,42.86,7,DLWWL
ST0006,T006,篮球,2024,17,10,7,0,1791,1704,87,20,58.82,3,DWWWD
ST0007,T007,篮球,2024,16,7,9,0,1655,1736,-81,14,43.75,6,WLWLL
ST0008,T008,篮球,2024,22,10,12,0,2248,2286,-38,20,45.45,4,LLDDD
ST0009,T009,足球,2024,16,8,8,0,36,36,0,24,50.0,6,WLWLW
ST0010,T010,足球,2024,19,6,13,0,44,56,-12,18,31.58,8,DLDLW
ST0011,T011,足球,2024,20,8,12,0,52,61,-9,24,40.0,7,DLLLW
ST0012,T012,足球,2024,20,10,10,0,52,51,1,30,50.0,4,WDWDD
ST0013,T013,足球,2024,20,10,10,0,53,58,-5,30,50.0,5,WWWLL
ST0014,T014,足球,2024,20,13,7,0,52,34,18,39,65.0,1,DLLWL
ST0015,T015,足球,2024,19,10,9,0,49,45,4,30,52.63,3,DWWDL
ST0016,T016,足球,2024,18,11,7,0,49,46,3,33,61.11,2,LWWLW
ST0017,T017,排球,2024,14,6,8,0,0,0,0,12,42.86,4,WLDWD
ST0018,T018,排球,2024,7,3,4,0,0,0,0,6,42.86,8,DLDWD
ST0019,T019,排球,2024,12,8,4,0,0,0,0,16,66.67,3,LWLLL
ST0020,T020,排球,2024,15,9,6,0,0,0,0,18,60.0,2,DLWLL
ST0021,T021,排球,2024,12,6,6,0,0,0,0,12,50.0,5,LDLLW
ST0022,T022,排球,2024,13,10,3,0,0,0,0,20,76.92,1,WWLDD
ST0023,T023,排球,2024,15,6,9,0,0,0,0,12,40.0,6,WLLDW
ST0024,T024,排球,2024,16,4,12,0,0,0,0,8,25.0,7,WWWLD
ST0025,T025,乒乓球,2024,12,8,4,0,0,0,0,16,66.67,1,WDLLL
ST0026,T026,乒乓球,2024,6,1,5,0,0,0,0,2,16.67,8,WLLDW
ST0027,T027,乒乓球,2024,8,4,4,0,0,0,0,8,50.0,4,WDDLW
ST0028,T028,乒乓球,2024,11,4,7,0,0,0,0,8,36.36,5,LDDWW
ST0029,T029,乒乓球,2024,2,2,0,0,0,0,0,4,100.0,7,DWLWL
ST0030,T030,乒乓球,2024,10,7,3,0,0,0,0,14,70.0,2,LDWLW
ST0031,T031,乒乓球,2024,10,4,6,0,0,0,0,8,40.0,6,LDWWD
ST0032,T032,乒乓球,2024,11,5,6,0,0,0,0,10,45.45,3,WDWLL
ST0033,T033,羽毛球,2024,3,1,2,0,0,0,0,2,33.33,8,WLLWW
ST0034,T034,羽毛球,2024,7,4,3,0,0,0,0,8,57.14,4,WWLWW
ST0035,T035,羽毛球,2024,9,3,6,0,0,0,0,6,33.33,6,WLWLW
ST0036,T036,羽毛球,2024,11,5,6,0,0,0,0,10,45.45,3,LLLLL
ST0037,T037,羽毛球,2024,5,2,3,0,0,0,0,4,40.0,7,WLDWD
ST0038,T038,羽毛球,2024,11,6,5,0,0,0,0,12,54.55,2,LDWWW
ST0039,T039,羽毛球,2024,8,4,4,0,0,0,0,8,50.0,5,WWWWW
ST0040,T040,羽毛球,2024,14,9,5,0,0,0,0,18,64.29,1,WWWLD
