team_id,team_name,sport_type,founded_year,coach,city,home_venue,team_logo
T001,火箭,篮球,2010,教练8,北京,大学球场,logo_1.png
T002,湖人,篮球,1998,教练16,深圳,体育馆B,logo_2.png
T003,勇士,篮球,2013,教练7,上海,体育中心,logo_3.png
T004,公牛,篮球,2003,教练3,北京,体育馆A,logo_4.png
T005,热火,篮球,1996,教练15,北京,体育中心,logo_5.png
T006,凯尔特人,篮球,1996,教练46,杭州,体育馆B,logo_6.png
T007,马刺,篮球,2004,教练38,成都,社区球场,logo_7.png
T008,雷霆,篮球,2017,教练1,广州,大学球场,logo_8.png
T009,恒大,足球,2003,教练22,成都,体育馆B,logo_9.png
T010,上港,足球,1996,教练49,武汉,体育馆A,logo_10.png
T011,国安,足球,1992,教练25,上海,体育馆C,logo_11.png
T012,鲁能,足球,2017,教练23,成都,社区球场,logo_12.png
T013,申花,足球,1991,教练47,南京,体育中心,logo_13.png
T014,苏宁,足球,1993,教练25,上海,体育中心,logo_14.png
T015,泰达,足球,1999,教练41,武汉,体育中心,logo_15.png
T016,力帆,足球,1996,教练46,上海,体育馆A,logo_16.png
T017,八一,排球,2011,教练15,成都,体育馆A,logo_17.png
T018,上海,排球,2017,教练15,上海,体育馆D,logo_18.png
T019,江苏,排球,1998,教练30,武汉,体育馆B,logo_19.png
T020,浙江,排球,2001,教练23,深圳,大学球场,logo_20.png
T021,北京,排球,1998,教练45,上海,体育中心,logo_21.png
T022,天津,排球,2010,教练11,深圳,体育馆B,logo_22.png
T023,山东,排球,2004,教练25,成都,大学球场,logo_23.png
T024,辽宁,排球,2012,教练36,深圳,大学球场,logo_24.png
T025,国乒一队,乒乓球,2000,教练50,北京,体育馆B,logo_25.png
T026,国乒二队,乒乓球,2016,教练3,武汉,体育馆D,logo_26.png
T027,省队A,乒乓球,1998,教练5,深圳,体育中心,logo_27.png
T028,省队B,乒乓球,2018,教练46,武汉,体育馆B,logo_28.png
T029,俱乐部A,乒乓球,2010,教练32,杭州,大学球场,logo_29.png
T030,俱乐部B,乒乓球,2004,教练10,成都,体育馆B,logo_30.png
T031,高校联队,乒乓球,1997,教练48,成都,大学球场,logo_31.png
T032,企业队,乒乓球,2008,教练28,杭州,体育馆C,logo_32.png
T033,羽协一队,羽毛球,1997,教练9,南京,体育馆A,logo_33.png
T034,羽协二队,羽毛球,2014,教练4,上海,体育馆B,logo_34.png
T035,省羽队,羽毛球,2010,教练11,杭州,体育中心,logo_35.png
T036,市羽队,羽毛球,1992,教练25,杭州,体育中心,logo_36.png
T037,俱乐部红,羽毛球,2004,教练34,成都,体育中心,logo_37.png
T038,俱乐部蓝,羽毛球,2017,教练1,上海,大学球场,logo_38.png
T039,大学联队,羽毛球,2018,教练35,成都,社区球场,logo_39.png
T040,企业联队,羽毛球,2010,教练22,上海,体育馆C,logo_40.png
